#version: ${plugin.version}
#If you change this file it will not be automatically updated after the next release.,
#item,material
BirchPlankWooden,birch_planks
BirchPlankwood,birch_planks
BirchPlankw,birch_planks
bPlank,birch_planks
bWoodenPlank,birch_planks
bwoodPlank,birch_planks
bwPlank,birch_planks
bPlankWooden,birch_planks
bPlankwood,birch_planks
bPlankw,birch_planks
LightPlank,birch_planks
LightWoodenPlank,birch_planks
LightwoodPlank,birch_planks
LightwPlank,birch_planks
LightPlankWooden,birch_planks
LightPlankwood,birch_planks
LightPlankw,birch_planks
lPlank,birch_planks
lWoodenPlank,birch_planks
lwoodPlank,birch_planks
lwPlank,birch_planks
lPlankWooden,birch_planks
lPlankwood,birch_planks
lPlankw,birch_planks
WhitePlank,birch_planks
WhiteWoodenPlank,birch_planks
WhitewoodPlank,birch_planks
WhitewPlank,birch_planks
WhitePlankWooden,birch_planks
WhitePlankwood,birch_planks
WhitePlankw,birch_planks
wWoodenPlank,birch_planks
wwoodPlank,birch_planks
wwPlank,birch_planks
wPlankWooden,birch_planks
wPlankwood,birch_planks
wPlankw,birch_planks
JunglePlank,jungle_planks
JungleWoodenPlank,jungle_planks
JungleWoodPlank,jungle_planks
JunglewPlank,jungle_planks
JunglePlankWooden,jungle_planks
JunglePlankwood,jungle_planks
JunglePlankw,jungle_planks
jPlank,jungle_planks
jWoodenPlank,jungle_planks
jwoodPlank,jungle_planks
jwPlank,jungle_planks
jPlankWooden,jungle_planks
jPlankwood,jungle_planks
jPlankw,jungle_planks
ForestPlank,jungle_planks
ForestWoodenPlank,jungle_planks
ForestwoodPlank,jungle_planks
ForestwPlank,jungle_planks
ForestPlankWooden,jungle_planks
ForestPlankwood,jungle_planks
ForestPlankw,jungle_planks
fPlank,jungle_planks
fWoodenPlank,jungle_planks
fwoodPlank,jungle_planks
fwPlank,jungle_planks
fPlankWooden,jungle_planks
fPlankwood,jungle_planks
fPlankw,jungle_planks
AcaciaPlank,acacia_planks
AcaciaWoodenPlank,acacia_planks
AcaciaWoodPlank,acacia_planks
AcaciawPlank,acacia_planks
AcaciaPlankWooden,acacia_planks
AcaciaPlankwood,acacia_planks
AcaciaPlankw,acacia_planks
aPlank,acacia_planks
aWoodenPlank,acacia_planks
awoodPlank,acacia_planks
awPlank,acacia_planks
aPlankWooden,acacia_planks
aPlankwood,acacia_planks
aPlankw,acacia_planks
DarkOakPlank,dark_oak_planks
DarkOakWoodenPlank,dark_oak_planks
DarkOakWoodPlank,dark_oak_planks
DarkOakwPlank,dark_oak_planks
DarkOakPlankWooden,dark_oak_planks
DarkOakPlankwood,dark_oak_planks
DarkOakPlankw,dark_oak_planks
dOakPlank,dark_oak_planks
dOakWoodenPlank,dark_oak_planks
dOakwoodPlank,dark_oak_planks
dOakwPlank,dark_oak_planks
dOakPlankWooden,dark_oak_planks
dOakPlankwood,dark_oak_planks
dOakPlankw,dark_oak_planks
doPlank,dark_oak_planks
doWoodenPlank,dark_oak_planks
dowoodPlank,dark_oak_planks
dowPlank,dark_oak_planks
doPlankWooden,dark_oak_planks
doPlankwood,dark_oak_planks
doPlankw,dark_oak_planks
Sapling,oak_sapling
TreeSapling,oak_sapling
LogSapling,oak_sapling
TrunkSapling,oak_sapling
woodSapling,oak_sapling
OakTreeSapling,oak_sapling
OakLogSapling,oak_sapling
OakTrunkSapling,oak_sapling
OakwoodSapling,oak_sapling
oSapling,oak_sapling
oTreeSapling,oak_sapling
oLogSapling,oak_sapling
oTrunkSapling,oak_sapling
owoodSapling,oak_sapling
DarkSapling,dark_oak_sapling
DarkTreeSapling,dark_oak_sapling
DarkLogSapling,dark_oak_sapling
DarkTrunkSapling,dark_oak_sapling
DarkwoodSapling,dark_oak_sapling
SpruceSapling,spruce_sapling
SpruceTreeSapling,spruce_sapling
SpruceLogSapling,spruce_sapling
SpruceTrunkSapling,spruce_sapling
SprucewoodSapling,spruce_sapling
PineSapling,spruce_sapling
PineTreeSapling,spruce_sapling
PineLogSapling,spruce_sapling
PineTrunkSapling,spruce_sapling
PinewoodSapling,spruce_sapling
dSapling,spruce_sapling
dTreeSapling,spruce_sapling
dLogSapling,spruce_sapling
dTrunkSapling,spruce_sapling
dwoodSapling,spruce_sapling
sSapling,spruce_sapling
sTreeSapling,spruce_sapling
sLogSapling,spruce_sapling
sTrunkSapling,spruce_sapling
swoodSapling,spruce_sapling
pSapling,spruce_sapling
pTreeSapling,spruce_sapling
pLogSapling,spruce_sapling
pTrunkSapling,spruce_sapling
pwoodSapling,spruce_sapling
BirchSapling,birch_sapling
BirchTreeSapling,birch_sapling
BirchLogSapling,birch_sapling
BirchTrunkSapling,birch_sapling
BirchWoodSapling,birch_sapling
LightSapling,birch_sapling
LightTreeSapling,birch_sapling
LightLogSapling,birch_sapling
LightTrunkSapling,birch_sapling
LightwoodSapling,birch_sapling
WhiteSapling,birch_sapling
WhiteTreeSapling,birch_sapling
WhiteLogSapling,birch_sapling
WhiteTrunkSapling,birch_sapling
WhitewoodSapling,birch_sapling
bSapling,birch_sapling
bTreeSapling,birch_sapling
bLogSapling,birch_sapling
bTrunkSapling,birch_sapling
bwoodSapling,birch_sapling
lSapling,birch_sapling
lTreeSapling,birch_sapling
lLogSapling,birch_sapling
lTrunkSapling,birch_sapling
lwoodSapling,birch_sapling
wSapling,birch_sapling
wTreeSapling,birch_sapling
wLogSapling,birch_sapling
wTrunkSapling,birch_sapling
wwoodSapling,birch_sapling
JungleSapling,jungle_sapling
JungleTreeSapling,jungle_sapling
JungleLogSapling,jungle_sapling
JungleTrunkSapling,jungle_sapling
JungleWoodSapling,jungle_sapling
ForestSapling,jungle_sapling
ForestTreeSapling,jungle_sapling
ForestLogSapling,jungle_sapling
ForestTrunkSapling,jungle_sapling
ForestwoodSapling,jungle_sapling
jSapling,jungle_sapling
jTreeSapling,jungle_sapling
jLogSapling,jungle_sapling
jTrunkSapling,jungle_sapling
jwoodSapling,jungle_sapling
fSapling,jungle_sapling
fTreeSapling,jungle_sapling
fLogSapling,jungle_sapling
fTrunkSapling,jungle_sapling
fwoodSapling,jungle_sapling
AcaciaSapling,acacia_sapling
AcaciaTreeSapling,acacia_sapling
AcaciaLogSapling,acacia_sapling
AcaciaTrunkSapling,acacia_sapling
AcaciaWoodSapling,acacia_sapling
aSapling,acacia_sapling
aTreeSapling,acacia_sapling
aLogSapling,acacia_sapling
aTrunkSapling,acacia_sapling
awoodSapling,acacia_sapling
DarkOakSapling,dark_oak_sapling
DarkOakTreeSapling,dark_oak_sapling
DarkOakLogSapling,dark_oak_sapling
DarkOakTrunkSapling,dark_oak_sapling
DarkOakWoodSapling,dark_oak_sapling
dOakSapling,dark_oak_sapling
dOakTreeSapling,dark_oak_sapling
dOakLogSapling,dark_oak_sapling
dOakTrunkSapling,dark_oak_sapling
doSapling,dark_oak_sapling
dowoodSapling,dark_oak_sapling
doTreeSapling,dark_oak_sapling
doLogSapling,dark_oak_sapling
doTrunkSapling,dark_oak_sapling
Bedrock,bedrock
oprock,bedrock
opBlock,bedrock
adminBlock,bedrock
adminrock,bedrock
adminium,bedrock
Water,water
StationaryWater,water
StillWater,water
sWater,water
Lava,lava
StationaryLava,lava
StillLava,lava
sLava,lava
Sand,sand
RedSand,red_sand
rSand,red_sand
Gravel,gravel
GoldOre,gold_ore
oreGold,gold_ore
gore,gold_ore
oreg,gold_ore
oGold,gold_ore
Goldo,gold_ore
IronOre,iron_ore
oreIron,iron_ore
Irono,iron_ore
oIron,iron_ore
SteelOre,iron_ore
oreSteel,iron_ore
Steelo,iron_ore
oSteel,iron_ore
iore,iron_ore
orei,iron_ore
sore,iron_ore
ores,iron_ore
CoalOre,coal_ore
oreCoal,coal_ore
Coalo,coal_ore
oCoal,coal_ore
core,coal_ore
Tree,oak_log
Log,oak_log
Trunk,oak_log
Oak,oak_log
OakTree,oak_log
OakLog,oak_log
OakTrunk,oak_log
Oakwood,oak_wood
oTree,oak_log
oLog,oak_log
oTrunk,oak_log
owood,oak_wood
Pine,spruce_log
PineTree,spruce_log
PineLog,spruce_log
PineTrunk,spruce_log
Pinewood,spruce_wood
DarkTree,dark_oak_log
DarkLog,dark_oak_log
DarkTrunk,dark_oak_log
Darkwood,dark_oak_wood
Spruce,spruce_log
SpruceTree,spruce_log
SpruceLog,spruce_log
SpruceTrunk,spruce_log
Sprucewood,spruce_wood
dTree,dark_oak_log
dLog,dark_oak_log
dTrunk,dark_oak_log
dwood,dark_oak_wood
sTree,spruce_log
sLog,spruce_log
sTrunk,spruce_log
swood,spruce_wood
pTree,spruce_log
pLog,spruce_log
pTrunk,spruce_log
pwood,spruce_wood
Birch,birch_log
BirchTree,birch_log
BirchLog,birch_log
BirchTrunk,birch_log
BirchWood,birch_wood
WhiteTree,birch_log
WhiteLog,birch_log
WhiteTrunk,birch_log
Whitewood,birch_wood
LightTree,birch_log
LightLog,birch_log
LightTrunk,birch_log
Lightwood,birch_wood
bTree,birch_log
bLog,birch_log
bTrunk,birch_log
bwood,birch_wood
wTree,birch_log
wLog,birch_log
wTrunk,birch_log
wwood,birch_wood
lTree,birch_log
lLog,birch_log
lTrunk,birch_log
lwood,birch_wood
JungleTree,jungle_log
JungleLog,jungle_log
JungleTrunk,jungle_log
JungleWood,jungle_wood
Jungle,jungle_log
Forest,jungle_log
ForestTree,jungle_log
ForestLog,jungle_log
ForestTrunk,jungle_log
Forestwood,jungle_wood
jTree,jungle_log
jLog,jungle_log
jTrunk,jungle_log
jwood,jungle_wood
fTree,jungle_log
fLog,jungle_log
fTrunk,jungle_log
fwood,jungle_wood
AcaciaTree,acacia_log
AcaciaLog,acacia_log
AcaciaWood,acacia_wood
AcaciaTrunk,acacia_log
DarkOakLog,dark_oak_log
DarkOakTree,dark_oak_log
DarkOakTrunk,dark_oak_log
DarkOakWood,dark_oak_wood
StrippedOakLog,stripped_oak_log
StripedSpruceLog,stripped_spruce_log
StripedBirchLog,stripped_spruce_log
StripedJungleLog,stripped_jungle_log
StripedAcaciaLog,stripped_acacia_log
StripedDarkOakLog,stripped_dark_oak_log
StrippedOakWood,stripped_oak_wood
StripedSpruceWood,stripped_spruce_wood
StripedBirchWood,stripped_spruce_wood
StripedJungleWood,stripped_jungle_wood
StripedAcaciaWood,stripped_acacia_wood
StripedDarkOakWood,stripped_dark_oak_wood
Leaves,oak_leaves
Leaf,oak_leaves
TreeLeaves,oak_leaves
LogLeaves,oak_leaves
TrunkLeaves,oak_leaves
woodLeaves,oak_leaves
OakLeaves,oak_leaves
OakLeaf,oak_leaves
oLeaves,oak_leaves
oLeaf,oak_leaves
OakTreeLeaves,oak_leaves
OakLogLeaves,oak_leaves
OakTrunkLeaves,oak_leaves
OakwoodLeaves,oak_leaves
oTreeLeaves,oak_leaves
oLogLeaves,oak_leaves
oTrunkLeaves,oak_leaves
owoodLeaves,oak_leaves
TreeLeaf,oak_leaves
LogLeaf,oak_leaves
TrunkLeaf,oak_leaves
woodLeaf,oak_leaves
OakTreeLeaf,oak_leaves
OakLogLeaf,oak_leaves
OakTrunkLeaf,oak_leaves
OakwoodLeaf,oak_leaves
oTreeLeaf,oak_leaves
oLogLeaf,oak_leaves
oTrunkLeaf,oak_leaves
owoodLeaf,oak_leaves
PineLeaves,spruce_leaves
PineLeaf,spruce_leaves
pLeaves,spruce_leaves
pLeaf,spruce_leaves
PineTreeLeaves,spruce_leaves
PineLogLeaves,spruce_leaves
PineTrunkLeaves,spruce_leaves
PinewoodLeaves,spruce_leaves
pTreeLeaves,spruce_leaves
pLogLeaves,spruce_leaves
pTrunkLeaves,spruce_leaves
pwoodLeaves,spruce_leaves
SpruceLeaves,spruce_leaves
SpruceLeaf,spruce_leaves
sLeaves,spruce_leaves
sLeaf,spruce_leaves
SpruceTreeLeaves,spruce_leaves
SpruceLogLeaves,spruce_leaves
SpruceTrunkLeaves,spruce_leaves
SprucewoodLeaves,spruce_leaves
sTreeLeaves,spruce_leaves
sLogLeaves,spruce_leaves
sTrunkLeaves,spruce_leaves
swoodLeaves,spruce_leaves
DarkLeaves,spruce_leaves
DarkLeaf,spruce_leaves
dLeaves,spruce_leaves
dLeaf,spruce_leaves
DarkTreeLeaves,spruce_leaves
DarkLogLeaves,spruce_leaves
DarkTrunkLeaves,spruce_leaves
DarkwoodLeaves,spruce_leaves
dTreeLeaves,spruce_leaves
dLogLeaves,spruce_leaves
dTrunkLeaves,spruce_leaves
dwoodLeaves,spruce_leaves
SpruceTreeLeaf,spruce_leaves
SpruceLogLeaf,spruce_leaves
SpruceTrunkLeaf,spruce_leaves
SprucewoodLeaf,spruce_leaves
sTreeLeaf,spruce_leaves
sLogLeaf,spruce_leaves
sTrunkLeaf,spruce_leaves
swoodLeaf,spruce_leaves
PineTreeLeaf,spruce_leaves
PineLogLeaf,spruce_leaves
PineTrunkLeaf,spruce_leaves
PinewoodLeaf,spruce_leaves
pTreeLeaf,spruce_leaves
pLogLeaf,spruce_leaves
pTrunkLeaf,spruce_leaves
pwoodLeaf,spruce_leaves
DarkTreeLeaf,spruce_leaves
DarkLogLeaf,spruce_leaves
DarkTrunkLeaf,spruce_leaves
DarkwoodLeaf,spruce_leaves
dTreeLeaf,spruce_leaves
dLogLeaf,spruce_leaves
dTrunkLeaf,spruce_leaves
dwoodLeaf,spruce_leaves
BirchLeaves,birch_leaves
BirchLeaf,birch_leaves
bLeaves,birch_leaves
bLeaf,birch_leaves
BirchTreeLeaves,birch_leaves
BirchLogLeaves,birch_leaves
BirchTrunkLeaves,birch_leaves
BirchWoodLeaves,birch_leaves
bTreeLeaves,birch_leaves
bLogLeaves,birch_leaves
bTrunkLeaves,birch_leaves
bwoodLeaves,birch_leaves
LightLeaves,birch_leaves
LightLeaf,birch_leaves
lLeaves,birch_leaves
lLeaf,birch_leaves
LightTreeLeaves,birch_leaves
LightLogLeaves,birch_leaves
LightTrunkLeaves,birch_leaves
LightwoodLeaves,birch_leaves
lTreeLeaves,birch_leaves
lLogLeaves,birch_leaves
lTrunkLeaves,birch_leaves
lwoodLeaves,birch_leaves
WhiteLeaves,birch_leaves
WhiteLeaf,birch_leaves
wLeaves,birch_leaves
wLeaf,birch_leaves
WhiteTreeLeaves,birch_leaves
WhiteLogLeaves,birch_leaves
WhiteTrunkLeaves,birch_leaves
WhitewoodLeaves,birch_leaves
wTreeLeaves,birch_leaves
wLogLeaves,birch_leaves
wTrunkLeaves,birch_leaves
wwoodLeaves,birch_leaves
BirchTreeLeaf,birch_leaves
BirchLogLeaf,birch_leaves
BirchTrunkLeaf,birch_leaves
BirchWoodLeaf,birch_leaves
bTreeLeaf,birch_leaves
bLogLeaf,birch_leaves
bTrunkLeaf,birch_leaves
bwoodLeaf,birch_leaves
LightTreeLeaf,birch_leaves
LightLogLeaf,birch_leaves
LightTrunkLeaf,birch_leaves
LightwoodLeaf,birch_leaves
lTreeLeaf,birch_leaves
lLogLeaf,birch_leaves
lTrunkLeaf,birch_leaves
lwoodLeaf,birch_leaves
WhiteTreeLeaf,birch_leaves
WhiteLogLeaf,birch_leaves
WhiteTrunkLeaf,birch_leaves
WhitewoodLeaf,birch_leaves
wTreeLeaf,birch_leaves
wLogLeaf,birch_leaves
wTrunkLeaf,birch_leaves
wwoodLeaf,birch_leaves
JungleLeaves,jungle_leaves
JungleLeaf,jungle_leaves
jLeaves,jungle_leaves
jLeaf,jungle_leaves
JungleTreeLeaves,jungle_leaves
JungleLogLeaves,jungle_leaves
JungleTrunkLeaves,jungle_leaves
JungleWoodLeaves,jungle_leaves
jTreeLeaves,jungle_leaves
jLogLeaves,jungle_leaves
jTrunkLeaves,jungle_leaves
jwoodLeaves,jungle_leaves
ForestLeaves,jungle_leaves
ForestLeaf,jungle_leaves
fLeaves,jungle_leaves
fLeaf,jungle_leaves
ForestTreeLeaves,jungle_leaves
ForestLogLeaves,jungle_leaves
ForestTrunkLeaves,jungle_leaves
ForestwoodLeaves,jungle_leaves
fTreeLeaves,jungle_leaves
fLogLeaves,jungle_leaves
fTrunkLeaves,jungle_leaves
fwoodLeaves,jungle_leaves
JungleTreeLeaf,jungle_leaves
JungleLogLeaf,jungle_leaves
JungleTrunkLeaf,jungle_leaves
JungleWoodLeaf,jungle_leaves
jTreeLeaf,jungle_leaves
jLogLeaf,jungle_leaves
jTrunkLeaf,jungle_leaves
jwoodLeaf,jungle_leaves
ForestTreeLeaf,jungle_leaves
ForestLogLeaf,jungle_leaves
ForestTrunkLeaf,jungle_leaves
ForestwoodLeaf,jungle_leaves
fTreeLeaf,jungle_leaves
fLogLeaf,jungle_leaves
fTrunkLeaf,jungle_leaves
fwoodLeaf,jungle_leaves
AcaciaTreeLeaf,acacia_leaves
AcaciaLogLeaf,acacia_leaves
AcaciaTrunkLeaf,acacia_leaves
AcaciaWoodLeaf,acacia_leaves
AcaciaLeaf,acacia_leaves
DarkOakTreeLeaf,dark_oak_leaves
DarkOakLogLeaf,dark_oak_leaves
DarkOakTrunkLeaf,dark_oak_leaves
DarkOakWoodLeaf,dark_oak_leaves
DarkOakLeaf,dark_oak_leaves
sponge,sponge
wetsponge,wet_sponge
wsponge,wet_sponge
glass,glass
Blockglass,glass
glassBlock,glass
LapislazuliOre,lapis_ore
Lapislazulio,lapis_ore
oreLapislazuli,lapis_ore
oLapislazuli,lapis_ore
LapisOre,lapis_ore
Lapiso,lapis_ore
oreLapis,lapis_ore
oLapis,lapis_ore
lore,lapis_ore
orel,lapis_ore
LapislazuliBlock,lapis_block
BlockLapislazuli,lapis_block
LapisBlock,lapis_block
BlockLapis,lapis_block
lBlock,lapis_block
Blockl,lapis_block
Dispenser,dispenser
Dispense,dispenser
Sandstone,sandstone
sastone,sandstone
CreeperSandstone,chiseled_sandstone
Creepersastone,chiseled_sandstone
creepSandstone,chiseled_sandstone
creepsastone,chiseled_sandstone
cSandstone,chiseled_sandstone
csastone,chiseled_sandstone
hieroglyphicSandstone,chiseled_sandstone
hieroglyphicsastone,chiseled_sandstone
hieroglyphSandstone,chiseled_sandstone
hieroglyphsastone,chiseled_sandstone
hSandstone,chiseled_sandstone
hsastone,chiseled_sandstone
PyramidSandstone,chiseled_sandstone
Pyramidsastone,chiseled_sandstone
pSandstone,chiseled_sandstone
psastone,chiseled_sandstone
ChiseledSandstone,chiseled_sandstone
Chiseledsastone,chiseled_sandstone
chiselSandstone,chiseled_sandstone
chiselsastone,chiseled_sandstone
SmoothSandstone,smooth_sandstone
Smoothsastone,smooth_sandstone
sSandstone,smooth_sandstone
smsastone,smooth_sandstone
ssastone,smooth_sandstone
cutsandstone,cut_sandstone
noteBlock,note_block
musicBlock,note_block
nBlock,note_block
mBlock,note_block
PoweredTrack,powered_rail
PoweredRails,powered_rail
PoweredRail,powered_rail
boosterTrack,powered_rail
boosterRails,powered_rail
boosterRail,powered_rail
powerTrack,powered_rail
powerRails,powered_rail
powerRail,powered_rail
boostTrack,powered_rail
boostRails,powered_rail
boostRail,powered_rail
pTrack,powered_rail
pRails,powered_rail
pRail,powered_rail
bTrack,powered_rail
bRails,powered_rail
bRail,powered_rail
DetectorTrack,detector_rail
DetectorRails,detector_rail
DetectorRail,detector_rail
DetectingTrack,detector_rail
DetectingRails,detector_rail
DetectingRail,detector_rail
DetectTrack,detector_rail
DetectRails,detector_rail
DetectRail,detector_rail
dTrack,detector_rail
dRails,detector_rail
dRail,detector_rail
StickyPistonbase,sticky_piston
StickyPiston,sticky_piston
stickPistonbase,sticky_piston
stickPiston,sticky_piston
Stickyp,sticky_piston
sPistonbase,sticky_piston
sPiston,sticky_piston
PistonStickybase,sticky_piston
PistonSticky,sticky_piston
Pistonstickbase,sticky_piston
Pistonstick,sticky_piston
Pistonsbase,sticky_piston
Pistons,sticky_piston
pSticky,sticky_piston
pstick,sticky_piston
SpiderWeb,cobweb
cobWeb,cobweb
sWeb,cobweb
cWeb,cobweb
Web,cobweb
longGrass,grass
tallGrass,grass
wildGrass,grass
Grasslong,grass
Grasstall,grass
Grasswild,grass
lGrass,grass
tGrass,grass
wGrass,grass
Fern,fern
Bush,fern
DeadShrub,dead_bush
dShrub,dead_bush
DeadBush,dead_bush
dBush,dead_bush
DeadSapling,dead_bush
Piston,piston
Pistonbase,piston
PistonBlock,piston
PistonHead,piston_head
PistonTop,piston_head
WhiteWool,white_wool
WhiteCloth,white_wool
WhiteCotton,white_wool
wCloth,white_wool
wWool,white_wool
wCotton,white_wool
Cloth,white_wool
Wool,white_wool
Cotton,white_wool
OrangeWool,orange_wool
OrangeCloth,orange_wool
OrangeCotton,orange_wool
oCloth,orange_wool
oWool,orange_wool
oCotton,orange_wool
MagentaWool,magenta_wool
MagentaCloth,magenta_wool
MagentaCotton,magenta_wool
mCloth,magenta_wool
mWool,magenta_wool
mCotton,magenta_wool
LightBlueWool,light_blue_wool
LightBlueCloth,light_blue_wool
LightBlueCotton,light_blue_wool
lBlueCloth,light_blue_wool
lBlueWool,light_blue_wool
lBlueCotton,light_blue_wool
LightbluCloth,light_blue_wool
LightbluWool,light_blue_wool
LightbluCotton,light_blue_wool
lbluCloth,light_blue_wool
lbluWool,light_blue_wool
lbluCotton,light_blue_wool
lbCloth,light_blue_wool
lbWool,light_blue_wool
lbCotton,light_blue_wool
YellowWool,yellow_wool
YellowCloth,yellow_wool
YellowCotton,yellow_wool
yCloth,yellow_wool
yWool,yellow_wool
yCotton,yellow_wool
LightGreenWool,lime_wool
LightGreenCloth,lime_wool
LightGreenCotton,lime_wool
lGreenCloth,lime_wool
lGreenWool,lime_wool
lGreenCotton,lime_wool
LightgreCloth,lime_wool
LightgreWool,lime_wool
LightgreCotton,lime_wool
lgreCloth,lime_wool
lgreWool,lime_wool
lgreCotton,lime_wool
LimeCloth,lime_wool
LimeWool,lime_wool
LimeCotton,lime_wool
lCloth,lime_wool
lWool,lime_wool
lCotton,lime_wool
PinkWool,pink_wool
PinkCloth,pink_wool
PinkCotton,pink_wool
piCloth,pink_wool
piWool,pink_wool
piCotton,pink_wool
DarkGrayWool,gray_wool
DarkGrayCloth,gray_wool
DarkGrayCotton,gray_wool
DarkGreyWool,gray_wool
DarkGreyCloth,gray_wool
DarkGreyCotton,gray_wool
dGrayCloth,gray_wool
dGrayWool,gray_wool
dGrayCotton,gray_wool
dGreyCloth,gray_wool
dGreyWool,gray_wool
dGreyCotton,gray_wool
DarkgraCloth,gray_wool
DarkgraWool,gray_wool
DarkgraCotton,gray_wool
dgraCloth,gray_wool
dgraWool,gray_wool
dgraCotton,gray_wool
GrayCloth,gray_wool
GrayWool,gray_wool
GrayCotton,gray_wool
GreyCloth,gray_wool
GreyWool,gray_wool
GreyCotton,gray_wool
graCloth,gray_wool
graWool,gray_wool
graCotton,gray_wool
LightGrayWool,light_gray_wool
LightGrayCloth,light_gray_wool
LightGrayCotton,light_gray_wool
lGrayCloth,light_gray_wool
lGrayWool,light_gray_wool
lGrayCotton,light_gray_wool
LightGreyWool,light_gray_wool
LightGreyCloth,light_gray_wool
LightGreyCotton,light_gray_wool
lGreyCloth,light_gray_wool
lGreyWool,light_gray_wool
lGreyCotton,light_gray_wool
LightgraCloth,light_gray_wool
LightgraWool,light_gray_wool
LightgraCotton,light_gray_wool
lgraCloth,light_gray_wool
lgraWool,light_gray_wool
lgraCotton,light_gray_wool
SilverCloth,light_gray_wool
SilverWool,light_gray_wool
SilverCotton,light_gray_wool
siCloth,light_gray_wool
siaWool,light_gray_wool
siaCotton,light_gray_wool
CyanWool,cyan_wool
CyanCloth,cyan_wool
CyanCotton,cyan_wool
cCloth,cyan_wool
cWool,cyan_wool
cCotton,cyan_wool
PurpleWool,purple_wool
PurpleCloth,purple_wool
PurpleCotton,purple_wool
puCloth,purple_wool
puWool,purple_wool
puCotton,purple_wool
BlueWool,blue_wool
BlueCloth,blue_wool
BlueCotton,blue_wool
bluCloth,blue_wool
bluWool,blue_wool
bluCotton,blue_wool
BrownWool,brown_wool
BrownCloth,brown_wool
BrownCotton,brown_wool
broCloth,brown_wool
broWool,brown_wool
broCotton,brown_wool
DarkGreenWool,green_wool
DarkGreenCloth,green_wool
DarkGreenCotton,green_wool
dGreenCloth,green_wool
dGreenWool,green_wool
dGreenCotton,green_wool
GreenCloth,green_wool
GreenWool,green_wool
GreenCotton,green_wool
DarkgreCloth,green_wool
DarkgreWool,green_wool
DarkgreCotton,green_wool
dgreCloth,green_wool
dgreWool,green_wool
dgreCotton,green_wool
greCloth,green_wool
greWool,green_wool
greCotton,green_wool
RedWool,red_wool
RedCloth,red_wool
RedCotton,red_wool
rCloth,red_wool
rWool,red_wool
rCotton,red_wool
BlackWool,black_wool
BlackCloth,black_wool
BlackCotton,black_wool
blaCloth,black_wool
blaWool,black_wool
blaCotton,black_wool
Dandelion,dandelion
YellowDandelion,dandelion
yDandelion,dandelion
YellowFlower,dandelion
yFlower,dandelion
Flower,dandelion
Rose,poppy
RedRose,poppy
rRose,poppy
RedFlower,poppy
rFlower,poppy
Poppy,poppy
RedPoppy,poppy
BlueOrchid,blue_orchid
CyanOrchid,blue_orchid
LightBlueOrchid,blue_orchid
lBlueOrchid,blue_orchid
Orchid,blue_orchid
Allium,allium
